generic sedimentary sequence
vertical layers consisting of: limestone, shale, silty claystone, siltstone, fine sandstone

Ztop Zbot dz Mtyp Km0  rhom cpm0   S0  hs  phi0  phic  hc  Sr   xs0  lambda  d1   d2    n21
  0,  50,  2, 11, 1.9, 2650, 780, 1.8, 10, 0.41, 0.05, 1.4, 1, 0.003, 0.39,  10,   2, 2.55,
 50, 100,  2, 10, 4.2, 2660, 740, 0.8, 10, 0.36, 0.10, 2.4, 1, 0.003, 0.36, 177,  30,    0,
100, 150,  2, 11, 1.9, 2650, 780, 1.8, 10, 0.37, 0.05, 2.0, 1, 0.003, 0.36,  30,   2,    0,
150, 200,  2, 12, 3.7, 2650, 780, 0.6, 10, 0.38, 0.05, 2.0, 1, 0.003, 0.39,  10,   2,    0,
200, 250,  2, 11, 1.9, 2650, 780, 1.8, 10, 0.41, 0.05, 1.4, 1, 0.003, 0.39,  10,   2, 2.55,
250, 300,  2, 11, 1.9, 2650, 780, 1.8, 10, 0.37, 0.05, 2.0, 1, 0.003, 0.36,  30,   2,    0,
300, 350,  2, 11, 1.9, 2650, 780, 1.8, 10, 0.41, 0.05, 1.4, 1, 0.003, 0.39,  10,   2, 2.55,
350, 400,  2, 12, 3.7, 2650, 780, 0.6, 10, 0.38, 0.05, 2.0, 1, 0.003, 0.39,  10,   2,    0,
400, 450,  2, 11, 1.9, 2650, 780, 1.8, 10, 0.41, 0.05, 1.4, 1, 0.003, 0.39,  10,   2, 2.55,
450, 500,  2, 10, 4.2, 2660, 740, 0.8, 10, 0.36, 0.10, 2.4, 1, 0.003, 0.36, 177,  30,    0,
500, 550,  2, 11, 1.9, 2650, 780, 1.8, 10, 0.37, 0.05, 2.0, 1, 0.003, 0.36,  30,   2,    0,
550, 600,  5, 11, 1.9, 2650, 780, 1.8, 10, 0.37, 0.05, 2.0, 1, 0.003, 0.36,  30,   2,    0,
600, 800, 10, 10, 4.2, 2660, 740, 0.8, 10, 0.36, 0.10, 2.4, 1, 0.003, 0.36, 177,  30,    0,
800,1000, 25, 11, 1.9, 2650, 780, 1.8, 10, 0.41, 0.05, 1.4, 1, 0.003, 0.33,   2, 0.1,    1,
1000,2000,50, 11, 1.9, 2650, 780, 1.8, 10, 0.41, 0.05, 1.4, 1, 0.003, 0.33,   2, 0.1,    1,
